Component,testmetric,unit,ptopo,ltopo,baseline,,"Values for different builds",,,,,,,,,,,,,,
ESX-DP,test_tcp_crr_vm1_s4_tps,tps,hv-hv,T1-T0.overlay,12463.1,,12426,12364,12388,12710,12510,12311,12257,12416,12698,12366,9634,9640,11823,11995,12463
ESX-DP,test_tcp_crr_vm1_s64_tps,tps,hv-hv,T1-T0.overlay,40342.07,,40251,40333,40007,40249,39896,39433,40072,40091,39980,40204,23637,22768,37458,38477,40342
ESX-DP,test_tcp_crr_vm8_s4_tps,tps,hv-hv,T1-T0.overlay,59768.11,,58936,57805,59138,54320,58897,58770,58696,57007,54240,58649,44458,48107,51395,55793,59768
ESX-DP,test_tcp_crr_vm8_s64_tps,tps,hv-hv,T1-T0.overlay,146593.54,,144565,144577,144396,131406,144491,145034,144572,145121,130675,145421,102133,105932,127138,138024,146594
ESX-DP,test_tcp_stream_vm1_m16k_mbps,mbps,hv-hv,T1-T0.overlay,8784.52,,8362,9038,7921,8613,8618,8383,7176,8966,8754,8391,8542,8474,8522,9001,8785
ESX-DP,test_tcp_stream_vm1_m16k_NCpu_Host0,NCpu,hv-hv,T1-T0.overlay,18.89,,19.73,22.33,19.9,22.36,19.36,19.09,19.91,20.33,21.1,20.02,24.05,23.3,23.47,20.67,18.89
ESX-DP,test_tcp_stream_vm1_m16k_NCpu_Host1,NCpu,hv-hv,T1-T0.overlay,30.62,,30.02,30.73,33.04,30.5,29.46,30.42,32.61,30.49,36.61,30.87,29.97,31.04,28.28,30.62,30.62
ESX-DP,test_tcp_stream_vm1_m64_mbps,mbps,hv-hv,T1-T0.overlay,110.62,,112.12,108.26,112.85,116.36,112.17,114.23,108.25,113.17,117.58,113.41,91.67,86.33,110.8,106.37,110.62
ESX-DP,test_tcp_stream_vm1_m64_NCpu_Host0,NCpu,hv-hv,T1-T0.overlay,2244.53,,2195,2217,2209,2560,2222,2232,2221,2221,2560,2236,3384,3135,2798,2407,2245
ESX-DP,test_tcp_stream_vm1_m64_NCpu_Host1,NCpu,hv-hv,T1-T0.overlay,1861.31,,1855,1817,1861,2288,1801,1807,1907,1827,2278,1844,3149,2432,2374,1946,1861
ESX-DP,test_tcp_stream_vm8_m16k_mbps,mbps,hv-hv,T1-T0.overlay,9050.85,,9051,9053,9051,9049,9051,9050,9051,9051,9049,9050,9052,9054,9052,9050,9051
ESX-DP,test_tcp_stream_vm8_m16k_NCpu_Host0,NCpu,hv-hv,T1-T0.overlay,39.67,,44.86,39.98,39.32,41.44,41.54,44.42,39,40.66,41,41.99,45.64,41.86,42.97,43.21,39.67
ESX-DP,test_tcp_stream_vm8_m16k_NCpu_Host1,NCpu,hv-hv,T1-T0.overlay,81.55,,89.5,81.73,78.31,73.82,79.99,88.29,78.66,79.12,74.15,80.88,77.73,86.15,78.53,87.18,81.55
ESX-DP,test_tcp_stream_vm8_m64_mbps,mbps,hv-hv,T1-T0.overlay,547.62,,542.64,555.42,557.56,500.61,520.53,554.27,553.43,542.04,486.2,555.52,410.18,443.82,482.46,532.07,547.62
ESX-DP,test_tcp_stream_vm8_m64_NCpu_Host0,NCpu,hv-hv,T1-T0.overlay,2273.27,,2266,2245,2293,2603,2271,2312,2270,2267,2585,2276,3513,3166,2860,2457,2273
ESX-DP,test_tcp_stream_vm8_m64_NCpu_Host1,NCpu,hv-hv,T1-T0.overlay,1937.47,,1870,1943,1951,2179,1896,1961,1892,1865,2134,1891,2951,2655,2390,2082,1937
ESX-DP,test_tcp_rr_vm1_tps,tps,hv-hv,T1-T0.overlay,40050.18,,40419,39913,40228,41260,40839,40768,40071,40927,41337,40632,33564,29646,38972,36652,40050
ESX-DP,test_tcp_rr_vm8_tps,tps,hv-hv,T1-T0.overlay,187657.97,,186784,186021,186652,175741,185575,185226,186459,182343,177638,186591,152988,157851,167450,176412,187658
ESX-DP,test_udp_stream_vm1_m1024_FPS,FPS,hv-hv,LS.overlay.teaming,595289,,589724,586325,586190,624187,571889,569111,569368,590493,597559,573537,265691,270630,618874,548553,595289
ESX-DP,test_udp_stream_vm1_m256_FPS,FPS,hv-hv,LS.overlay.teaming,579044,,576529,575412,567240,735572,570674,586278,585406,575080,670595,584943,284451,282812,734060,586220,579044
